No.,Film Name,Year
1,BORN OF WAR,2014
2,RIFLE CLUB,2024
3,SONIC THE HEDGEHOG 3,2024
4,DEADLY GAMES,1989
5,PREDATOR WORLD,2017
6,VIDUTHALAI PART 2,2024
7,INTO THE DEEP,2025
8,SUNRAY: FALLEN SOLDIER,2024
9,WATCHERS,1988
10,SEVEN SWORDS,2005
11,KRAVEN THE HUNTER,2024
12,OPERATION BLOOD HUNT,2024
13,HUNT,2022
14,KUNG FU ZOMBIE,1981
15,BACK IN ACTION,2025
16,"LOVE, COURAGE AND THE BATTLE OF BUSHY RUN",2024
17,ALIEN: RUBICON,2024
18,HENRY DANGER: THE MOVIE,2025
19,SINGHAM AGAIN,2024
20,ALARUM,2025
21,RING OF FIRE II: BLOOD AND STEEL,1993
22,SUPERMAN II,1980
23,THE EPIC JOURNEY OF DWAYNE 'THE ROCK' JOHNSON,2012
24,POINT LAST SEEN,1998
25,SCALPS,1987
26,MAN WITH NO PAST,2025
27,HATARI!,1962
28,THE OMEGA CODE,1999
29,ROCK THE CASBAH,2012
30,THE BAD GUYS: HAUNTED HEIST,2024
31,THE LUCKY TEXAN,1934
32,THE STAR PACKER,1934
33,TAI CHI MASTER,1993
34,TRAILER TRAUMA,2016
35,DAWN OF THE GREAT STEPPE,2022
36,FUNGUS,2023
37,20 FUNERALS,2004
38,LE JARDINIER,2025
39,AD VITAM,2025
40,JOHN WICK: CHAPTER 3 - PARABELLUM,2019
